horizon,channel_set,model,train_seconds,feature_seconds,predict_seconds,total_seconds,n_features,val_threshold,val_n,val_n_positive,val_n_negative,val_auroc,val_auprc,val_brier,val_accuracy,val_balanced_accuracy,val_precision,val_recall_sensitivity,val_specificity,val_f1,val_tp,val_tn,val_fp,val_fn,test_n,test_n_positive,test_n_negative,test_threshold,test_auroc,test_auprc,test_brier,test_accuracy,test_balanced_accuracy,test_precision,test_recall_sensitivity,test_specificity,test_f1,test_tp,test_tn,test_fp,test_fn
12,values,RandomForest_balanced,1.412,0.009,0.179,1.629,100,0.3275,276,170,106,0.756992230854606,0.8392448665518171,0.19250586503623188,0.6702898550724637,0.5743063263041066,0.6536964980544747,0.9882352941176471,0.16037735849056603,0.7868852459016393,168,17,89,2,276,170,106,0.3275,0.7208102108768034,0.8143414616176953,0.2043904891304348,0.6413043478260869,0.545449500554939,0.6392156862745098,0.9588235294117647,0.1320754716981132,0.7670588235294118,163,14,92,7
12,values,HistGradBoost,0.207,0.009,0.002,0.235,100,0.31187272030900803,276,170,106,0.7370144284128746,0.8283854867202014,0.2047910935862445,0.677536231884058,0.6068257491675916,0.6768558951965066,0.9117647058823529,0.3018867924528302,0.7769423558897243,155,32,74,15,276,170,106,0.31187272030900803,0.708157602663707,0.8122769519712412,0.2145102605240538,0.6485507246376812,0.5850721420643729,0.6666666666666666,0.8588235294117647,0.3113207547169811,0.7506426735218509,146,33,73,24
12,values,MLP_tabular,0.542,0.008,0.002,0.569,100,0.3000558614730835,276,170,106,0.7112652608213097,0.7882156984550758,0.2191227284434771,0.6884057971014492,0.6280799112097669,0.6926605504587156,0.888235294117647,0.36792452830188677,0.7783505154639175,151,39,67,19,276,170,106,0.3000558614730835,0.7124306326304106,0.7965289997218508,0.2227473468703614,0.6992753623188406,0.6457824639289678,0.7061611374407583,0.8764705882352941,0.41509433962264153,0.7821522309711286,149,44,62,21
12,values,LogReg_L2_balanced,0.031,0.009,0.001,0.057,100,0.20310911188593417,276,170,106,0.6811320754716982,0.747171086004452,0.23065173200291667,0.6485507246376812,0.5460044395116538,0.6387832699619772,0.9882352941176471,0.10377358490566038,0.7759815242494227,168,11,95,2,276,170,106,0.20310911188593417,0.6732519422863485,0.7793827367383578,0.22745522257606504,0.6376811594202898,0.5336293007769145,0.6325757575757576,0.9823529411764705,0.08490566037735849,0.7695852534562212,167,9,97,3
12,values,Dummy_StratifiedFloor,0.0,0.009,0.001,0.027,100,0.0,276,170,106,0.4704217536071033,0.6024735694850708,0.5036231884057971,0.6159420289855072,0.5,0.6159420289855072,1.0,0.0,0.7623318385650224,170,0,106,0,276,170,106,0.0,0.478079911209767,0.6058598914702564,0.4963768115942029,0.6159420289855072,0.5,0.6159420289855072,1.0,0.0,0.7623318385650224,170,0,106,0
12,values_masks,ExtraTrees_balanced,0.745,0.022,0.211,1.011,200,0.4825,276,170,106,0.735932297447281,0.8223675410988907,0.20061872735507244,0.6920289855072463,0.6274694783573807,0.6905829596412556,0.9058823529411765,0.3490566037735849,0.7837150127226463,154,37,69,16,276,170,106,0.4825,0.7478357380688122,0.8351447905698268,0.19697391304347828,0.6739130434782609,0.6127635960044395,0.6834862385321101,0.8764705882352941,0.3490566037735849,0.7680412371134021,149,37,69,21
12,values_masks,RandomForest_balanced,1.256,0.01,0.152,1.462,200,0.39,276,170,106,0.74661487236404,0.8310918030224295,0.1956665760869565,0.6739130434782609,0.586126526082131,0.6612903225806451,0.9647058823529412,0.20754716981132076,0.784688995215311,164,22,84,6,276,170,106,0.39,0.727857935627081,0.8248725446060381,0.2020220561594203,0.644927536231884,0.5625971143174251,0.65,0.9176470588235294,0.20754716981132076,0.7609756097560976,156,22,84,14
12,values_masks,HistGradBoost,0.312,0.019,0.003,0.35,200,0.21379356917111078,276,170,106,0.7354605993340733,0.8233608469504572,0.20602290836116824,0.6666666666666666,0.5731409544950056,0.6535433070866141,0.9764705882352941,0.16981132075471697,0.7830188679245284,166,18,88,4,276,170,106,0.21379356917111078,0.7223085460599334,0.8227756551956278,0.20927907796465503,0.6521739130434783,0.5524972253052164,0.6423076923076924,0.9823529411764705,0.12264150943396226,0.7767441860465116,167,13,93,3
12,values_masks,MLP_tabular,0.444,0.01,0.002,0.473,200,0.12465166300535202,276,170,106,0.6577136514983352,0.7302297714439272,0.23162173173833714,0.6376811594202898,0.5318534961154273,0.631578947368421,0.9882352941176471,0.07547169811320754,0.7706422018348624,168,8,98,2,276,170,106,0.12465166300535202,0.7196448390677025,0.8140881423402708,0.21187270318348841,0.6376811594202898,0.5354051054384018,0.6335877862595419,0.9764705882352941,0.09433962264150944,0.7685185185185185,166,10,96,4
12,values_masks,LogReg_L2_balanced,0.067,0.01,0.002,0.095,200,0.1460993557184309,276,170,106,0.6879023307436183,0.7546447698288391,0.22983469331201228,0.6557971014492754,0.5572142064372919,0.6447876447876448,0.9823529411764705,0.1320754716981132,0.7785547785547785,167,14,92,3,276,170,106,0.1460993557184309,0.697780244173141,0.7943128681214406,0.22305229170815985,0.6413043478260869,0.5436736958934517,0.6381322957198443,0.9647058823529412,0.12264150943396226,0.7681498829039812,164,13,93,6
12,values_masks,Dummy_StratifiedFloor,0.0,0.01,0.001,0.028,200,0.0,276,170,106,0.4704217536071033,0.6024735694850708,0.5036231884057971,0.6159420289855072,0.5,0.6159420289855072,1.0,0.0,0.7623318385650224,170,0,106,0,276,170,106,0.0,0.478079911209767,0.6058598914702564,0.4963768115942029,0.6159420289855072,0.5,0.6159420289855072,1.0,0.0,0.7623318385650224,170,0,106,0
18,full,RandomForest_balanced,1.212,0.014,0.21,1.453,468,0.3675,276,170,106,0.7638457269700334,0.824958937857535,0.1857086956521739,0.7101449275362319,0.6261931187569367,0.6829268292682927,0.9882352941176471,0.2641509433962264,0.8076923076923077,168,28,78,2,276,170,106,0.3675,0.7575749167591564,0.8482805788606229,0.1939512907608696,0.6666666666666666,0.5873473917869034,0.6638655462184874,0.9294117647058824,0.24528301886792453,0.7745098039215687,158,26,80,12
18,full,HistGradBoost,0.563,0.025,0.002,0.608,468,0.455237573444228,276,170,106,0.7796892341842396,0.8389038890444522,0.18674452197194377,0.75,0.7331298557158712,0.791907514450867,0.8058823529411765,0.660377358490566,0.7988338192419825,137,70,36,33,276,170,106,0.455237573444228,0.7447280799112097,0.8464230215734891,0.20075395359130935,0.6666666666666666,0.6388457269700333,0.7166666666666667,0.7588235294117647,0.5188679245283019,0.7371428571428571,129,55,51,41
