channel_set,family,horizon,model,model_display,n_features,test_accuracy,test_auprc,test_auroc,test_balanced_accuracy,test_brier,test_f1,test_fn,test_fp,test_n,test_n_negative,test_n_positive,test_precision,test_recall_sensitivity,test_specificity,test_threshold,test_tn,test_tp,train_seconds,val_accuracy,val_auprc,val_auroc,val_balanced_accuracy,val_brier,val_f1,val_fn,val_fp,val_n,val_n_negative,val_n_positive,val_precision,val_recall_sensitivity,val_specificity,val_threshold,val_tn,val_tp
values_masks,baseline,12,MLP_tabular,MLP_tabular,200,0.6376811594202898,0.8140881423402708,0.7196448390677025,0.5354051054384018,0.2118727031834884,0.7685185185185185,4,96,276,106,170,0.6335877862595419,0.976470588235294,0.0943396226415094,0.124651663005352,10,166,0.444,0.6376811594202898,0.7302297714439272,0.6577136514983352,0.5318534961154273,0.2316217317383371,0.7706422018348624,2,98,276,106,170,0.631578947368421,0.9882352941176472,0.0754716981132075,0.124651663005352,8,168
values_masks,baseline,12,LogReg_L2_balanced,LogReg_L2_balanced,200,0.6413043478260869,0.7943128681214406,0.697780244173141,0.5436736958934517,0.2230522917081598,0.7681498829039812,6,93,276,106,170,0.6381322957198443,0.9647058823529412,0.1226415094339622,0.1460993557184309,13,164,0.067,0.6557971014492754,0.7546447698288391,0.6879023307436183,0.5572142064372919,0.2298346933120122,0.7785547785547785,3,92,276,106,170,0.6447876447876448,0.9823529411764704,0.1320754716981132,0.1460993557184309,14,167
values_masks,baseline,12,Dummy_StratifiedFloor,Dummy_StratifiedFloor,200,0.6159420289855072,0.6058598914702564,0.478079911209767,0.5,0.4963768115942029,0.7623318385650224,0,106,276,106,170,0.6159420289855072,1.0,0.0,0.0,0,170,0.0,0.6159420289855072,0.6024735694850708,0.4704217536071033,0.5,0.5036231884057971,0.7623318385650224,0,106,276,106,170,0.6159420289855072,1.0,0.0,0.0,0,170
full,baseline,18,RandomForest_balanced,RandomForest_balanced,468,0.6666666666666666,0.8482805788606229,0.7575749167591564,0.5873473917869034,0.1939512907608696,0.7745098039215687,12,80,276,106,170,0.6638655462184874,0.9294117647058824,0.2452830188679245,0.3675,26,158,1.212,0.7101449275362319,0.824958937857535,0.7638457269700334,0.6261931187569367,0.1857086956521739,0.8076923076923077,2,78,276,106,170,0.6829268292682927,0.9882352941176472,0.2641509433962264,0.3675,28,168
full,baseline,18,HistGradBoost,HistGradBoost,468,0.6666666666666666,0.8464230215734891,0.7447280799112097,0.6388457269700333,0.2007539535913093,0.7371428571428571,41,51,276,106,170,0.7166666666666667,0.7588235294117647,0.5188679245283019,0.455237573444228,55,129,0.563,0.75,0.8389038890444522,0.7796892341842396,0.7331298557158712,0.1867445219719437,0.7988338192419825,33,36,276,106,170,0.791907514450867,0.8058823529411765,0.660377358490566,0.455237573444228,70,137
full,baseline,18,ExtraTrees_balanced,ExtraTrees_balanced,468,0.6956521739130435,0.8404813726515508,0.7536348501664816,0.6250832408435072,0.1937468070652173,0.79,12,72,276,106,170,0.6869565217391305,0.9294117647058824,0.320754716981132,0.3925,34,158,0.874,0.7210144927536232,0.8098714997577274,0.7615704772475028,0.654550499445061,0.1866317255434782,0.8060453400503779,10,67,276,106,170,0.7048458149779736,0.9411764705882352,0.3679245283018867,0.3925,39,160
full,baseline,18,MLP_tabular,MLP_tabular,468,0.6739130434782609,0.822723780674856,0.729134295227525,0.5950055493895672,0.2074913631867664,0.7794117647058824,11,79,276,106,170,0.6680672268907563,0.9352941176470588,0.2547169811320754,0.264736533164978,27,159,0.489,0.6956521739130435,0.7675568116306113,0.7067147613762487,0.609100998890122,0.2041771043130223,0.7990430622009569,3,81,276,106,170,0.6733870967741935,0.9823529411764704,0.2358490566037736,0.264736533164978,25,167
full,baseline,18,LogReg_L2_balanced,LogReg_L2_balanced,468,0.6666666666666666,0.7872710032060403,0.7181465038845727,0.5855715871254162,0.2194609210205435,0.775609756097561,11,81,276,106,170,0.6625,0.9352941176470588,0.2358490566037736,0.1765532928850006,25,159,0.092,0.6920289855072463,0.7531023648431624,0.6926193118756937,0.61503884572697,0.234921390473359,0.7911547911547911,9,76,276,106,170,0.679324894514768,0.9470588235294116,0.2830188679245283,0.1765532928850006,30,161
full,baseline,18,Dummy_StratifiedFloor,Dummy_StratifiedFloor,468,0.6159420289855072,0.6058598914702564,0.478079911209767,0.5,0.4963768115942029,0.7623318385650224,0,106,276,106,170,0.6159420289855072,1.0,0.0,0.0,0,170,0.0,0.6159420289855072,0.6024735694850708,0.4704217536071033,0.5,0.5036231884057971,0.7623318385650224,0,106,276,106,170,0.6159420289855072,1.0,0.0,0.0,0,170
values,baseline,18,HistGradBoost,HistGradBoost,130,0.6630434782608695,0.8249069210867652,0.7143174250832409,0.56842397336293,0.2119239712581198,0.7811764705882352,4,89,276,106,170,0.6509803921568628,0.976470588235294,0.160377358490566,0.2129980939987341,17,166,0.245,0.6884057971014492,0.8271869076668433,0.7583240843507215,0.5961154273029967,0.1954821033950959,0.7971698113207547,1,85,276,106,170,0.6653543307086615,0.9941176470588236,0.1981132075471698,0.2129980939987341,21,169
